date,open,high,low,close,volume,average,barCount
2024-06-04 19:20:00-04:00,1.088125,1.088125,1.08805,1.088075,-1.0,-1.0,-1
2024-06-04 19:25:00-04:00,1.088075,1.08808,1.08806,1.088065,-1.0,-1.0,-1
2024-06-04 19:30:00-04:00,1.088065,1.088095,1.08801,1.08808,-1.0,-1.0,-1
2024-06-04 19:35:00-04:00,1.08808,1.088085,1.088015,1.08802,-1.0,-1.0,-1
2024-06-04 19:40:00-04:00,1.08802,1.08812,1.088005,1.08802,-1.0,-1.0,-1
2024-06-04 19:45:00-04:00,1.08802,1.08813,1.088015,1.08813,-1.0,-1.0,-1
2024-06-04 19:50:00-04:00,1.08813,1.08815,1.088055,1.088065,-1.0,-1.0,-1
2024-06-04 19:55:00-04:00,1.088065,1.0882,1.088055,1.08817,-1.0,-1.0,-1
2024-06-04 20:00:00-04:00,1.08817,1.08818,1.087915,1.08796,-1.0,-1.0,-1
2024-06-04 20:05:00-04:00,1.08796,1.08796,1.08785,1.08791,-1.0,-1.0,-1
2024-06-04 20:10:00-04:00,1.08791,1.08815,1.08786,1.08811,-1.0,-1.0,-1
2024-06-04 20:15:00-04:00,1.08811,1.088115,1.08797,1.08805,-1.0,-1.0,-1
2024-06-04 20:20:00-04:00,1.08805,1.08805,1.08785,1.087905,-1.0,-1.0,-1
2024-06-04 20:25:00-04:00,1.087905,1.08792,1.087845,1.087905,-1.0,-1.0,-1
2024-06-04 20:30:00-04:00,1.087905,1.08803,1.087875,1.08801,-1.0,-1.0,-1
2024-06-04 20:35:00-04:00,1.08801,1.088255,1.088,1.08821,-1.0,-1.0,-1
2024-06-04 20:40:00-04:00,1.08821,1.088615,1.0882,1.08849,-1.0,-1.0,-1
2024-06-04 20:45:00-04:00,1.08849,1.088575,1.088465,1.088485,-1.0,-1.0,-1
2024-06-04 20:50:00-04:00,1.088485,1.08852,1.08827,1.088315,-1.0,-1.0,-1
2024-06-04 20:55:00-04:00,1.088315,1.08848,1.088275,1.08842,-1.0,-1.0,-1
2024-06-04 21:00:00-04:00,1.08842,1.08848,1.08832,1.088375,-1.0,-1.0,-1
2024-06-04 21:05:00-04:00,1.088375,1.08844,1.088315,1.088315,-1.0,-1.0,-1
2024-06-04 21:10:00-04:00,1.088315,1.088415,1.088275,1.08831,-1.0,-1.0,-1
2024-06-04 21:15:00-04:00,1.08831,1.08837,1.08827,1.08833,-1.0,-1.0,-1
2024-06-04 21:20:00-04:00,1.08833,1.088365,1.088215,1.08835,-1.0,-1.0,-1
2024-06-04 21:25:00-04:00,1.08835,1.0885,1.08827,1.088485,-1.0,-1.0,-1
2024-06-04 21:30:00-04:00,1.088485,1.08849,1.088225,1.08827,-1.0,-1.0,-1
2024-06-04 21:35:00-04:00,1.08827,1.088275,1.088065,1.08823,-1.0,-1.0,-1
2024-06-04 21:40:00-04:00,1.08823,1.088425,1.088225,1.08842,-1.0,-1.0,-1
2024-06-04 21:45:00-04:00,1.08842,1.08861,1.08842,1.08843,-1.0,-1.0,-1
2024-06-04 21:50:00-04:00,1.08843,1.08853,1.088325,1.088335,-1.0,-1.0,-1
2024-06-04 21:55:00-04:00,1.088335,1.08842,1.088235,1.08841,-1.0,-1.0,-1
2024-06-04 22:00:00-04:00,1.08841,1.088435,1.08837,1.088425,-1.0,-1.0,-1
2024-06-04 22:05:00-04:00,1.088425,1.088425,1.088305,1.08837,-1.0,-1.0,-1
2024-06-04 22:10:00-04:00,1.08837,1.08857,1.08837,1.08853,-1.0,-1.0,-1
2024-06-04 22:15:00-04:00,1.08853,1.08853,1.08841,1.08847,-1.0,-1.0,-1
2024-06-04 22:20:00-04:00,1.08847,1.088525,1.08846,1.088475,-1.0,-1.0,-1
2024-06-04 22:25:00-04:00,1.088475,1.08852,1.088425,1.08848,-1.0,-1.0,-1
2024-06-04 22:30:00-04:00,1.08848,1.088535,1.088475,1.08853,-1.0,-1.0,-1
2024-06-04 22:35:00-04:00,1.08853,1.08853,1.08848,1.088485,-1.0,-1.0,-1
2024-06-04 22:40:00-04:00,1.088485,1.08852,1.088425,1.08848,-1.0,-1.0,-1
2024-06-04 22:45:00-04:00,1.08848,1.088485,1.08842,1.08847,-1.0,-1.0,-1
2024-06-04 22:50:00-04:00,1.08847,1.08852,1.08837,1.08838,-1.0,-1.0,-1
2024-06-04 22:55:00-04:00,1.08838,1.08839,1.08828,1.08833,-1.0,-1.0,-1
2024-06-04 23:00:00-04:00,1.08833,1.08837,1.08817,1.088175,-1.0,-1.0,-1
2024-06-04 23:05:00-04:00,1.088175,1.0882,1.0881,1.08813,-1.0,-1.0,-1
2024-06-04 23:10:00-04:00,1.08813,1.08818,1.08806,1.088155,-1.0,-1.0,-1
2024-06-04 23:15:00-04:00,1.088155,1.08821,1.08811,1.088165,-1.0,-1.0,-1
2024-06-04 23:20:00-04:00,1.088165,1.08817,1.088005,1.088015,-1.0,-1.0,-1
2024-06-04 23:25:00-04:00,1.088015,1.088015,1.08779,1.0878,-1.0,-1.0,-1
2024-06-04 23:30:00-04:00,1.0878,1.08786,1.087695,1.087705,-1.0,-1.0,-1
2024-06-04 23:35:00-04:00,1.087705,1.087855,1.087655,1.08785,-1.0,-1.0,-1
2024-06-04 23:40:00-04:00,1.08785,1.08791,1.087835,1.087905,-1.0,-1.0,-1
2024-06-04 23:45:00-04:00,1.087905,1.08798,1.087905,1.08791,-1.0,-1.0,-1
2024-06-04 23:50:00-04:00,1.08791,1.08793,1.08779,1.0878,-1.0,-1.0,-1
2024-06-04 23:55:00-04:00,1.0878,1.087855,1.087755,1.08784,-1.0,-1.0,-1
2024-06-05 00:00:00-04:00,1.08784,1.08786,1.08778,1.087835,-1.0,-1.0,-1
2024-06-05 00:05:00-04:00,1.087835,1.08785,1.08775,1.08782,-1.0,-1.0,-1
2024-06-05 00:10:00-04:00,1.08782,1.08783,1.087755,1.08776,-1.0,-1.0,-1
2024-06-05 00:15:00-04:00,1.08776,1.087825,1.08773,1.087745,-1.0,-1.0,-1
2024-06-05 00:20:00-04:00,1.087745,1.08786,1.087725,1.087835,-1.0,-1.0,-1
2024-06-05 00:25:00-04:00,1.087835,1.087885,1.08778,1.08788,-1.0,-1.0,-1
2024-06-05 00:30:00-04:00,1.08788,1.08793,1.087845,1.087875,-1.0,-1.0,-1
2024-06-05 00:35:00-04:00,1.087875,1.08792,1.08782,1.08791,-1.0,-1.0,-1
2024-06-05 00:40:00-04:00,1.08791,1.087985,1.087875,1.08796,-1.0,-1.0,-1
2024-06-05 00:45:00-04:00,1.08796,1.08806,1.08794,1.08804,-1.0,-1.0,-1
2024-06-05 00:50:00-04:00,1.08804,1.08808,1.087995,1.08808,-1.0,-1.0,-1
2024-06-05 00:55:00-04:00,1.08808,1.08808,1.08802,1.08806,-1.0,-1.0,-1
2024-06-05 01:00:00-04:00,1.08806,1.088185,1.088025,1.08813,-1.0,-1.0,-1
2024-06-05 01:05:00-04:00,1.08813,1.088225,1.088105,1.088175,-1.0,-1.0,-1
2024-06-05 01:10:00-04:00,1.088175,1.08818,1.08812,1.088175,-1.0,-1.0,-1
2024-06-05 01:15:00-04:00,1.088175,1.08818,1.08795,1.08797,-1.0,-1.0,-1
2024-06-05 01:20:00-04:00,1.08797,1.087975,1.087835,1.08787,-1.0,-1.0,-1
2024-06-05 01:25:00-04:00,1.08787,1.087925,1.087845,1.08791,-1.0,-1.0,-1
2024-06-05 01:30:00-04:00,1.08791,1.08797,1.087805,1.087815,-1.0,-1.0,-1
2024-06-05 01:35:00-04:00,1.087815,1.08783,1.08767,1.08769,-1.0,-1.0,-1
2024-06-05 01:40:00-04:00,1.08769,1.087775,1.08766,1.08776,-1.0,-1.0,-1
